GW,Name,Deadline,Is_Current,Is_Next,Finished
1,Gameweek 1,2025-08-15T17:30:00Z,False,False,True
2,Gameweek 2,2025-08-22T17:30:00Z,False,False,True
3,Gameweek 3,2025-08-30T10:00:00Z,False,False,True
4,Gameweek 4,2025-09-13T10:00:00Z,False,False,True
5,Gameweek 5,2025-09-20T10:00:00Z,False,False,True
6,Gameweek 6,2025-09-27T10:00:00Z,False,False,True
7,Gameweek 7,2025-10-03T17:30:00Z,False,False,True
8,Gameweek 8,2025-10-18T10:00:00Z,False,False,True
9,Gameweek 9,2025-10-24T17:30:00Z,False,False,True
10,Gameweek 10,2025-11-01T13:30:00Z,False,False,True
11,Gameweek 11,2025-11-08T11:00:00Z,False,False,True
12,Gameweek 12,2025-11-22T11:00:00Z,False,False,True
13,Gameweek 13,2025-11-29T13:30:00Z,False,False,True
14,Gameweek 14,2025-12-02T18:00:00Z,False,False,True
15,Gameweek 15,2025-12-06T11:00:00Z,False,False,True
16,Gameweek 16,2025-12-13T13:30:00Z,False,False,True
17,Gameweek 17,2025-12-20T11:00:00Z,False,False,True
18,Gameweek 18,2025-12-26T18:30:00Z,False,False,True
19,Gameweek 19,2025-12-30T18:00:00Z,False,False,True
20,Gameweek 20,2026-01-03T11:00:00Z,False,False,True
21,Gameweek 21,2026-01-06T18:30:00Z,False,False,True
22,Gameweek 22,2026-01-17T11:00:00Z,False,False,True
23,Gameweek 23,2026-01-24T11:00:00Z,False,False,True
24,Gameweek 24,2026-01-31T13:30:00Z,False,False,True
25,Gameweek 25,2026-02-06T18:30:00Z,False,False,True
26,Gameweek 26,2026-02-10T18:00:00Z,False,False,True
27,Gameweek 27,2026-02-21T13:30:00Z,False,False,True
28,Gameweek 28,2026-02-27T18:30:00Z,False,False,True
29,Gameweek 29,2026-03-03T18:00:00Z,False,False,True
30,Gameweek 30,2026-03-14T13:30:00Z,False,False,True
31,Gameweek 31,2026-03-20T18:30:00Z,False,False,True
32,Gameweek 32,2026-04-10T17:30:00Z,False,False,True
33,Gameweek 33,2026-04-18T10:00:00Z,False,False,True
34,Gameweek 34,2026-04-24T17:30:00Z,True,False,True
35,Gameweek 35,2026-05-01T17:30:00Z,False,True,False
36,Gameweek 36,2026-05-09T10:00:00Z,False,False,False
37,Gameweek 37,2026-05-17T10:00:00Z,False,False,False
38,Gameweek 38,2026-05-24T13:30:00Z,False,False,False
